window_start,window_end,base_currency,symbol,rate_open,rate_close,rate_min,rate_max,rate_avg,pct_change,samples
2025-09-21 12:18:00+00,2025-09-21 12:21:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:15:00+00,2025-09-21 12:18:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:15:00+00,2025-09-21 12:18:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:15:00+00,2025-09-21 12:18:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:12:00+00,2025-09-21 12:15:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,3
2025-09-21 12:12:00+00,2025-09-21 12:15:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,3
2025-09-21 12:12:00+00,2025-09-21 12:15:00+00,USD,USD,1,1,1,1,1.000000,0.0000,3
2025-09-21 12:09:00+00,2025-09-21 12:12:00+00,USD,CAD,1.3777201905,1.3777201905,1.3777201905,1.3777201905,1.377720,0.0000,1
2025-09-21 12:09:00+00,2025-09-21 12:12:00+00,USD,EUR,0.8509201645,0.8509201645,0.8509201645,0.8509201645,0.850920,0.0000,1
2025-09-21 12:09:00+00,2025-09-21 12:12:00+00,USD,USD,1,1,1,1,1.000000,0.0000,1
